차량명,가격(만원),연식,연료,변속기,색상,주행거리(km),사고이력,압류,저당,제시구분,주요옵션,시세_평균(만원),시세_최저(만원),시세_최고(만원)
C클래스(2세대) C230K,799.0,2005.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",0,0,0
신형 K5(DL3) 2.0 가솔린  프레스티지,1530.0,2022.0,전기,수동,,,,,,,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",2015,1530,2750
YF쏘나타 LPI  렌터카 탑,390.0,2010.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",390,390,390
코란도 스포츠 CX7 4WD  패션,430.0,2014.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",660,430,890
포터II CRDi 더블캡  초장축 프리미엄,990.0,2018.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",1340,870,1850
캐스퍼 가솔린 1.0 터보  인스퍼레이션,1970.0,2023.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",1970,1970,1970
더 뉴카니발(YP) 9인승 디젤  프레스티지,1750.0,2020.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",1414,870,2550
G70 2.0T  엘리트,2650.0,2019.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",2650,2650,2650
싼타페(DM) 디젤 R2.0 4WD  프리미엄,950.0,2014.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",0,0,0
싼타페 더 프라임 디젤 R2.0 2WD  익스클루시브,995.0,2016.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",972,950,995
봉고Ⅲ화물 CRDi 킹캡  초장축,1099.0,2019.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",1099,1099,1099
올 뉴K3 1.6 가솔린  럭셔리,1580.0,2020.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",2060,1580,2550
포터II VGT 더블캡  초장축 프리미엄,1850.0,2022.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",1340,870,1850
쏘나타(DN8) G2.0  프리미엄 패밀리,1850.0,2020.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",0,0,0
신형 카니발(KA4) 9인승 디젤  시그니처,2750.0,2021.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",2015,1530,2750
XM3 1.3 TCe  RE 시그니처,1450.0,2020.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",1450,1450,1450
제네시스 BH 330  프리미엄,820.0,2013.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",820,820,820
신형 투싼 1.6 가솔린 2WD  스마트,1680.0,2020.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",2015,1530,2750
디 올뉴스포티지 2.0 디젤 2WD  프레스티지,2050.0,2022.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",1717,490,3520
포터II CRDi 더블캡  초장축 스마트,870.0,2018.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",1340,870,1850
팰리세이드 2.2 디젤 AWD  캘리그래피,3520.0,2022.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",3520,3520,3520
그랜저IG 3.0 GDi  익스클루시브,1350.0,2017.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",1350,1350,1350
어매이징 크루즈 4도어 1.4 터보  LT 디럭스팩,490.0,2016.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",490,490,490
더 올뉴투싼 1.6 터보 2WD  프리미엄,2550.0,2023.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",1414,870,2550
포터II LPG 슈퍼캡  초장축 스마트,1650.0,2024.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",1340,870,1850
신형 K5 하이브리드(DL3) 2.0 HEV  노블레스,2100.0,2021.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",2015,1530,2750
아반떼(CN7) 1.6 가솔린  모던,1700.0,2021.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",0,0,0
더 뉴코란도 스포츠 2.2 4WD  CX7 익스트림,890.0,2018.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",1414,870,2550
그랜드스타렉스 5인승 디젤 밴  CVX 럭셔리,1230.0,2016.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",1230,1230,1230
뉴쏘렌토 R R2.0 4WD  LX,950.0,2014.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",950,950,950
아반떼AD 1.6 GDi  밸류 플러스,940.0,2018.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",940,940,940
e-마이티 덤프,2500.0,2012.0,전기,수동,,,,,,직접매도,"HID 램프, LED 램프, 어댑티브 램프, 가죽스티어링휠, 우드스티어링휠, 열선내장 스티어링 휠, 운전석에어백, 동승석에어백, 사이드에어백, 에어컨",2500,2500,2500
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
정보없음,,,,,,,,,,,,0,0,0
